borehole,x,y,total_thickness_m,coal_thickness_m,coal_seam_count,depth_to_top_coal_m,avg_elastic_modulus_GPa,avg_density_kN_m3,max_tensile_MPa,prop_sandstone,prop_mudstone
BK-1,523656.2,4371034.33,154.68,7.109999999999999,2,143.24,4.161162399793121,2049.917895009051,3.075,0.2746314972847168,0.10169381949831911
BK-2,523484.16,4371392.21,124.02,4.6,1,119.42,1.7494363812288343,1883.7292372198033,2.72,0.09054991130462829,0.08667956781164328
BK-3,525091.64,4371062.91,195.32,17.17,5,132.68,6.773242883473276,2255.7398115912347,3.075,0.5272885521195986,0.24697931599426584
BK-4,523975.24,4371159.01,179.24,14.82,1,164.42000000000002,5.195380495425129,2067.8682213791562,3.075,0.27276277616603434,0.11515286766346797
BK-5,524311.42,4371281.15,204.05,17.68,3,142.32999999999998,4.026179367802008,2065.513354569958,3.075,0.253516295025729,0.01097770154373928
BK-7,523130.55,4371061.01,219.35000000000002,18.490000000000002,3,157.89,5.6978527467517655,2205.834511055391,3.075,0.47900615454752676,0.11780259858673353
BK-9,523156.19,4371080.11,166.56,14.440000000000001,2,152.12,5.761382084534102,2133.461215177714,3.075,0.3969740634005763,0.0826729106628242
BK-12,523885.61,4370914.16,171.99,14.98,2,157.01,4.238569684283969,2063.635095063666,3.075,0.2808884237455666,0.0423861852433281
BK-19,524656.98,4371547.13,222.93,12.39,2,153.04000000000002,7.430293365630467,2202.134302247342,3.075,0.4699232943076301,0.06558112411967883
BK-21,523843.87,4371505.82,237.17000000000002,17.29,1,219.88,5.476873550617701,2117.9036134418348,3.075,0.2872623013028629,0.14588691655774338
BK-31,523981.45,4371057.38,171.74,14.34,1,157.39999999999998,3.3832875276580876,2062.7308722487483,3.075,0.23768487248165832,0.08908815651566321
BK-32,523766.89,4371123.03,179.95000000000002,8.77,1,171.18,5.276685190330647,2138.710197277021,3.075,0.3577104751319811,0.17065851625451514
BK-35,523518.23,4371564.17,234.11,23.02,3,154.47,4.442937080859425,2134.0510870958096,3.075,0.3816581948656615,0.19332792277134678
BK-42,523531.75,4370958.11,123.49000000000001,5.35,1,118.14,5.644776905012551,2068.334278079197,2.72,0.2584014899991902,0.140821119118957
BK-43,523802.0,4370926.0,152.42000000000002,8.88,1,143.54000000000002,5.792644009972443,2039.538118357171,2.72,0.2779162839522372,0.06560818790185015
BK-60,523253.25,4371251.74,180.06,13.16,1,166.9,4.624965567033211,2087.4758413862046,2.72,0.3548817060979674,0.15011662779073642
BK-61,523543.62,4371270.06,210.0,16.82,3,185.51999999999998,5.478045714285713,2100.6042857142857,3.075,0.3771904761904762,0.1428095238095238
BK-62,523051.371,4371304.118,164.61,16.09,1,148.52,4.919129457505619,2121.301257517769,3.075,0.39803171131765996,0.11670007897454589
BK-63,523430.13,4371287.14,169.3,14.8,1,154.5,4.5891819255759,2092.831069108092,2.72,0.37212049616066156,0.2091553455404607
